AreaCD	Area
01	REGION 1
0128	REGION I (ILOCOS REGION)
012801	ILOCOS NORTE
012802	ILOCOS NORTE
012803	ILOCOS NORTE
012804	ILOCOS NORTE
012805	ILOCOS NORTE
012806	ILOCOS NORTE
012807	ILOCOS NORTE
012808	ILOCOS NORTE
012809	ILOCOS NORTE
012810	ILOCOS NORTE
012811	ILOCOS NORTE
012812	ILOCOS NORTE
012813	ILOCOS NORTE
012814	ILOCOS NORTE
012815	ILOCOS NORTE
012816	ILOCOS NORTE
012817	ILOCOS NORTE
012818	ILOCOS NORTE
012819	ILOCOS NORTE
012820	ILOCOS NORTE
012821	ILOCOS NORTE
012822	ILOCOS NORTE
012823	ILOCOS NORTE
0129	REGION I (ILOCOS REGION)
012901	ILOCOS SUR
012902	ILOCOS SUR
012903	ILOCOS SUR
012904	ILOCOS SUR
012905	ILOCOS SUR
012906	ILOCOS SUR
012907	ILOCOS SUR
012908	ILOCOS SUR
012909	ILOCOS SUR
012910	ILOCOS SUR
012911	ILOCOS SUR
012912	ILOCOS SUR
012913	ILOCOS SUR
012914	ILOCOS SUR
012915	ILOCOS SUR
012916	ILOCOS SUR
012917	ILOCOS SUR
012918	ILOCOS SUR
012919	ILOCOS SUR
012920	ILOCOS SUR
012921	ILOCOS SUR
012922	ILOCOS SUR
012923	ILOCOS SUR
012924	ILOCOS SUR
012925	ILOCOS SUR
012926	ILOCOS SUR
012927	ILOCOS SUR
012928	ILOCOS SUR
012929	ILOCOS SUR
012930	ILOCOS SUR
012931	ILOCOS SUR
012932	ILOCOS SUR
012933	ILOCOS SUR
012934	ILOCOS SUR
0133	REGION I (ILOCOS REGION)
013301	LA UNION
013302	LA UNION
013303	LA UNION
013304	LA UNION
013305	LA UNION
013306	LA UNION
013307	LA UNION
013308	LA UNION
013309	LA UNION
013310	LA UNION
013311	LA UNION
013312	LA UNION
013313	LA UNION
013314	LA UNION
013315	LA UNION
013316	LA UNION
013317	LA UNION
013318	LA UNION
013319	LA UNION
013320	LA UNION
0155	REGION I (ILOCOS REGION)
015501	PANGASINAN
015502	PANGASINAN
015503	PANGASINAN
015504	PANGASINAN
015505	PANGASINAN
015506	PANGASINAN
015507	PANGASINAN
015508	PANGASINAN
015509	PANGASINAN
015510	PANGASINAN
015511	PANGASINAN
015512	PANGASINAN
015513	PANGASINAN
015514	PANGASINAN
015515	PANGASINAN
015516	PANGASINAN
015517	PANGASINAN
015518	PANGASINAN
015519	PANGASINAN
015520	PANGASINAN
015521	PANGASINAN
015522	PANGASINAN
015523	PANGASINAN
015524	PANGASINAN
015525	PANGASINAN
015526	PANGASINAN
015527	PANGASINAN
015528	PANGASINAN
015529	PANGASINAN
015530	PANGASINAN
015531	PANGASINAN
015532	PANGASINAN
015533	PANGASINAN
015534	PANGASINAN
015535	PANGASINAN
015536	PANGASINAN
015537	PANGASINAN
015538	PANGASINAN
015539	PANGASINAN
015540	PANGASINAN
015541	PANGASINAN
015542	PANGASINAN
015543	PANGASINAN
015544	PANGASINAN
015545	PANGASINAN
015546	PANGASINAN
015547	PANGASINAN
015548	PANGASINAN
02	REGION 2
0209	REGION II (CAGAYAN VALLEY)
020901	BATANES
020902	BATANES
020903	BATANES
020904	BATANES
020905	BATANES
020906	BATANES
0215	REGION II (CAGAYAN VALLEY)
021501	CAGAYAN
021502	CAGAYAN
021503	CAGAYAN
021504	CAGAYAN
021505	CAGAYAN
021506	CAGAYAN
021507	CAGAYAN
021508	CAGAYAN
021509	CAGAYAN
021510	CAGAYAN
021511	CAGAYAN
021512	CAGAYAN
021513	CAGAYAN
021514	CAGAYAN
021515	CAGAYAN
021516	CAGAYAN
021517	CAGAYAN
021518	CAGAYAN
021519	CAGAYAN
021520	CAGAYAN
021521	CAGAYAN
021522	CAGAYAN
021523	CAGAYAN
021524	CAGAYAN
021525	CAGAYAN
021526	CAGAYAN
021527	CAGAYAN
021528	CAGAYAN
021529	CAGAYAN
0231	REGION II (CAGAYAN VALLEY)
023101	ISABELA
023102	ISABELA
023103	ISABELA
023104	ISABELA
023105	ISABELA
023106	ISABELA
023107	ISABELA
023108	ISABELA
023109	ISABELA
023110	ISABELA
023111	ISABELA
023112	ISABELA
023113	ISABELA
023114	ISABELA
023115	ISABELA
023116	ISABELA
023117	ISABELA
023118	ISABELA
023119	ISABELA
023120	ISABELA
